customerid,firstname,lastname,email,phone,is_active,accountid,join_date
109,Elane,Elkin,Elane.Elkin@forgeacc.com,0229312491,1,119,19/05/2022
110,Ele,Ellary,Ele.Ellary@forgeacc.com,0221825401,1,120,20/05/2022
111,Ellissa,Ellers,Ellissa.Ellers@faaakeacc.com,0229871834,1,121,21/05/2022
112,Finley,Fabin,Finley.Fabin@forgeacc.com,0225449978,1,122,1/01/2024
113,Freya,Facer,Freya.Facer@faaakeacc.com,0223435254,1,123,2/01/2024
114,Felix,Facon,Felix.Facon@faaakeacc.com,0224363783,1,124,3/01/2024
115,Francisco,Faddin,Francisco.Faddin@forgeacc.com,0224931920,1,125,4/01/2024
116,Fernando,Fager,Fernando.Fager@forgeacc.com,0224685365,1,126,5/01/2024
117,Fatima,Fairbarn,Fatima.Fairbarn@forgeacc.com,0228397061,1,127,6/01/2024
118,Fiona,Fairend,Fiona.Fairend@forgeacc.com,0222612967,1,128,7/01/2024
119,Frankclin,Faunce,Frankclin.Faunce@forgeacc.com,0226278833,1,129,8/01/2024
120,Frankie,Fauster,Frankie.Fauster@faaakeacc.com,0271897711,1,130,9/01/2024
121,Frank,Favers,Frank.Favers@forgeacc.com,0228961536,1,131,10/01/2024
122,Finnegan,Fawson,Finnegan.Fawson@faaakeacc.com,0276937541,1,132,11/01/2024
123,Felicity,Feaber,Felicity.Feaber@forgeacc.com,0228610364,1,133,12/01/2024
124,Fernanda,Fearne,Fernanda.Fearne@faaakeacc.com,0224258027,1,134,13/01/2024
125,Fabian,Feathers,Fabian.Feathers@forgeacc.com,0229496584,1,135,14/01/2024
126,Fiore,Febene,Fiore.Febene@forgeacc.com,0223508925,1,136,15/01/2024
127,Fugiki,Feddan,Fugiki.Feddan@faaakeacc.com,0227597227,1,137,15/01/2024
128,Floor,Feelal,Floor.Feelal@faaakeacc.com,0226595816,1,138,15/01/2024
129,Fabiane,Feelys,Fabiane.Feelys@forgeacc.com,0223188045,1,139,15/01/2024
130,Ferench,Fendall,Ferench.Fendall@forgeacc.com,0225306821,1,140,15/01/2024
131,Fryda,Fenton,Fryda.Fenton@faaakeacc.com,0226793234,1,141,16/01/2024
132,Falak,Fenwicke,Falak.Fenwicke@forgeacc.com,0222206191,1,142,17/01/2024
133,Fuentes,Ferdinando,Fuentes.Ferdinando@forgeacc.com,0221933746,1,143,18/01/2024
134,Fryer,Ferris,Fryer.Ferris@faaakeacc.com,0226406159,1,144,18/01/2024
135,Fuenta,Fettiplace,Fuenta.Fettiplace@forgeacc.com,0226482421,1,145,18/01/2024
136,Fuhrman,Field,Fuhrman.Field@faaakeacc.com,0223645538,1,146,18/01/2024
137,Fulande,Firbanke,Fulande.Firbanke@forgeacc.com,0221982624,1,147,18/01/2024
138,Fulke,Firebrane,Fulke.Firebrane@forgeacc.com,0224975806,1,148,19/01/2024
139,Fulbright,Firman,Fulbright.Firman@faaakeacc.com,0228939358,1,149,20/01/2024
140,Fusha,Fisher,Fusha.Fisher@forgeacc.com,0225512511,1,150,21/01/2024
141,Fursey,Fishley,Fursey.Fishley@forgeacc.com,0222741634,1,151,22/01/2024
142,Fulgentius,Fishwick,Fulgentius.Fishwick@forgeacc.com,0274200271,1,152,23/01/2024
143,Fulangi,Fist,Fulangi.Fist@forgeacc.com,0225892268,1,153,24/01/2024
144,Fuchsia,Fitch,Fuchsia.Fitch@forgeacc.com,0226108272,1,154,25/01/2024
145,Fuensanta,Fitton,Fuensanta.Fitton@forgeacc.com,0223780845,1,155,26/01/2024
146,Fulke,Fitzwater,Fulke.Fitzwater@faaakeacc.com,0228750504,1,156,27/01/2024
147,Fulvia,Foche,Fulvia.Foche@forgeacc.com,0227865189,1,157,28/01/2024
148,Funke,Fodergill,Funke.Fodergill@forgeacc.com,0228415520,1,158,29/01/2024
149,Francesca,Fodey,Francesca.Fodey@faaakeacc.com,0223365141,1,159,30/01/2024
150,Forrest,Follet,Forrest.Follet@faaakeacc.com,0222689015,1,160,31/01/2024
151,Finn,Fooakes,Finn.Fooakes@forgeacc.com,0226425396,1,161,1/02/2024
152,Fabian,Foot,Fabian.Foot@forgeacc.com,0225032627,1,162,2/02/2024
153,Ford,Forbes,Ford.Forbes@faaakeacc.com,0221524199,1,163,3/02/2024
154,Fore,Fordham,Fore.Fordham@forgeacc.com,0227477804,1,164,3/02/2024
155,Forefeit,Fordingly,Forefeit.Fordingly@faaakeacc.com,0228444687,1,165,4/02/2024
156,Fort,Forthergill,Fort.Forthergill@forgeacc.com,0224780617,1,166,5/02/2024
157,Fortune,Fosbury,Fortune.Fosbury@forgeacc.com,0226206903,1,167,5/02/2024
158,Fossett,Frampton,Fossett.Frampton@faaakeacc.com,0226978147,1,168,6/02/2024
159,Fraine,Foxwell,Fraine.Foxwell@forgeacc.com,0225996250,1,169,7/02/2024
160,Daniel,Daban,Daniel.Daban@fakeacccc.com,0274200895,1,170,7/02/2024
161,David,Dackin,DavidDackin@fakeaccool.com,0225892350,1,171,7/02/2024
162,Dylan,Dacons,Dylan.Dacons@fakeacccc.com,0226108254,1,172,7/02/2024
163,Diego,Dacres,Diego.Dacres@fakeacccc.com,0223780663,1,173,8/02/2024
164,Daisy,Dowlis,DaisyDowlis@fakeaccool.com,0228750776,1,174,8/02/2024
165,Dean,Down,DeanDown@fakeaccool.com,0227865979,1,175,8/02/2024
166,Diana,Dowse,DianaDowse@fakeaccool.com,0228415866,1,176,8/02/2024
167,Derek,Doyley,Derek.Doyley@fakeacccc.com,0223365814,1,177,8/02/2024
168,Daphne,Driver,DaphneDriver@fakeaccool.com,0222689410,1,178,8/02/2024
169,Dorae,Drockford,Dorae.Drockford@fakeacccc.com,0226425851,1,179,9/02/2024
170,Darinda,Duboire,Darinda.Duboire@fakeacccc.com,0225032010,1,180,9/02/2024
171,Dorette,Ducatt,DoretteDucatt@fakeaccool.com,0221524363,1,181,10/02/2024
172,Daivik,Duckle,Daivik.Duckle@fakeacccc.com,0227477611,1,182,10/02/2024
173,Dori,Distan,Dori.Distan@fakeacccc.com,0228444224,1,183,10/02/2024
174,Derron,Ditcher,Derron.Ditcher@fakeacccc.com,0224780948,1,184,10/02/2024
175,Delbert,Dixon,DelbertDixon@fakeaccool.com,0226206805,1,185,10/02/2024
176,Dalle,Dive,Dalle.Dive@fakeacccc.com,0226978773,1,186,11/02/2024
177,Dainis,Denham,DainisDenham@fakeaccool.com,0225996489,1,187,12/02/2024
178,Dainard,Denly,Dainard.Denly@fakeacccc.com,0274200965,1,188,12/02/2024
179,Daivat,Dennis,Daivat.Dennis@fakeacccc.com,0225892599,1,189,12/02/2024
